                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0183,                 2.5878,                 2.8163,                 1.2302,                0.43886,                0.33463,                0.35157,                0.28834,                0.43886,                0.33463,                0.35096,                0.27991,                 0.5699,                 1.4721,                 2.1775,                 1.0616,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                0.85944,                 1.7793,                 1.9634,                 1.1284,                0.82518,                  0.875,                0.90179,                0.78897,                0.82518,                  0.875,                0.89429,                0.79519,                0.44882,                0.77611,                 1.7172,                0.93735,             0.00014997,             0.00014997,             0.00014997
                      3,                0.56868,                0.95192,                0.94697,                0.95559,                0.85541,                0.89881,                0.91038,                0.78329,                0.85541,                0.89881,                0.91038,                0.78755,                0.48427,                0.95807,                  1.422,                0.90701,             0.00023319,             0.00023319,             0.00023319
                      4,                0.64608,                 1.0124,                0.86155,                  1.001,                 0.7961,                 0.8046,                0.83877,                  0.703,                 0.7961,                 0.8046,                0.83877,                0.66223,                0.57409,                  1.153,                 1.2594,                0.98346,             0.00031634,             0.00031634,             0.00031634
                      5,                0.55617,                0.85123,                 0.6749,                0.94873,                0.54609,                0.81548,                0.56104,                0.48386,                0.52822,                0.73214,                0.53248,                0.42446,                0.50718,                 1.8086,                 3.4168,                0.98747,             0.00039942,             0.00039942,             0.00039942
                      6,                0.59443,                0.88085,                0.65679,                 0.9523,                0.65093,                0.85714,                0.83809,                0.68906,                0.65093,                0.85714,                0.83739,                0.60823,                0.51719,                 1.8511,                 1.8748,                0.96647,             0.00048243,             0.00048243,             0.00048243
                      7,                0.57588,                0.83955,                0.68519,                0.95097,                0.65516,                0.67262,                0.76003,                0.56668,                0.65516,                0.67262,                0.75085,                  0.556,                0.66712,                 3.2579,                  2.212,                 1.1372,             0.00056538,             0.00056538,             0.00056538
                      8,                0.57553,                0.83943,                 0.6932,                0.95798,                0.70681,                0.79637,                0.80342,                 0.6607,                0.70681,                0.79637,                0.80342,                0.65338,                0.58296,                 2.1696,                 2.4376,                  1.092,             0.00064825,             0.00064825,             0.00064825
                      9,                0.68133,                0.97404,                0.79076,                 1.0313,                0.61589,                0.69545,                0.68806,                0.53429,                0.64139,                0.73711,                   0.69,                0.47117,                0.78438,                 4.0293,                 2.7992,                 1.2736,             0.00073106,             0.00073106,             0.00073106
                     10,                0.60103,                0.84078,                0.67253,                0.95026,                0.54435,                0.50595,                0.50838,                0.41331,                0.54435,                0.50595,                0.51224,                 0.3512,                0.74717,                 5.0553,                 11.582,                  1.432,              0.0008138,              0.0008138,              0.0008138
                     11,                0.66354,                 1.6462,                0.65711,                 1.0048,                0.19098,                0.58929,                0.25961,                0.17304,                0.17747,                0.55357,                0.24095,                0.12566,                0.94901,                 10.943,                 37.473,                 1.8092,             0.00089647,             0.00089647,             0.00089647
                     12,                 0.7337,                 1.2199,                0.71295,                 1.0474,                0.48963,                0.52381,                0.46596,                0.37018,                0.49841,                0.56548,                0.50439,                0.31381,                0.80871,                 6.0103,                  15.25,                 1.3986,             0.00097907,             0.00097907,             0.00097907
                     13,                0.64599,                 1.0681,                0.64548,                0.99878,                0.55769,                0.54167,                0.49829,                0.31095,                0.51923,                    0.5,                0.45735,                0.27372,                0.95749,                 4.9603,                 15.545,                 1.4266,              0.0010616,              0.0010616,              0.0010616
                     14,                0.65431,                 1.0202,                0.62909,                 1.0031,                0.46778,                0.55952,                0.54056,                0.41429,                0.46778,                0.55952,                0.54026,                0.37157,                0.93187,                 5.7671,                  16.57,                 1.5447,              0.0011441,              0.0011441,              0.0011441
                     15,                0.59847,                0.90928,                0.59921,                0.95373,                0.51697,                0.54194,                 0.5799,                0.43329,                0.49277,                 0.5037,                0.53303,                0.31629,                 1.0807,                 6.6971,                  3.229,                 1.6851,              0.0012265,              0.0012265,              0.0012265
                     16,                0.65868,                 1.0272,                0.67813,                 1.0197,                 0.5146,                0.69247,                 0.5261,                0.37167,                0.41654,                0.52976,                0.39424,                0.19527,                 1.0586,                 11.326,                 2.3379,                 1.6139,              0.0013088,              0.0013088,              0.0013088
                     17,                0.64692,                 1.0509,                0.61824,                0.99983,                0.00263,                 0.1369,                0.00158,                0.00063,                0.00172,                0.05357,                0.00083,                0.00048,                 1.6579,                 20.722,                    inf,                 2.1282,               0.001391,               0.001391,               0.001391
